iter	RMSE
0	304.1766111
1	292.4144695
2	281.9245461
3	272.4434378
4	263.9733572
5	256.0630151
6	248.9776669
7	242.573849
8	236.8965373
9	231.8032066
10	227.1207543
11	222.8757623
12	219.1566364
13	215.8169908
14	212.7364193
15	209.9993428
16	207.3940668
17	205.1930807
18	203.2544275
19	201.503671
20	199.9340789
21	198.4204151
22	197.0882767
23	195.8704195
24	194.6337441
25	193.6330032
26	192.7763847
27	192.0350526
28	191.350156
29	190.7348633
30	190.0485145
31	189.5550559
32	188.9570769
33	188.4987458
34	188.0419227
35	187.61526
36	187.1672411
37	186.7784845
38	186.4848484
39	186.1735239
40	185.9439041
41	185.6747836
42	185.1794513
43	184.8905489
44	184.6332687
45	184.3817851
46	184.1775378
47	183.9449757
48	183.7494021
49	183.5497118
50	183.2724208
51	182.9500219
52	182.7088607
53	182.560042
54	182.3093109
55	182.1530611
56	181.9020424
57	181.7944322
58	181.5837712
59	181.3618667
60	181.212696
61	181.062075
62	180.9634969
63	180.8661637
64	180.7614436
65	180.5298376
66	180.4321589
67	180.0681937
68	179.7893657
69	179.60649
70	179.5444488
71	179.4302843
72	179.2891044
73	179.0715715
74	178.9690204
75	178.8416828
76	178.7414329
77	178.652653
78	178.5194393
79	178.2909735
80	178.2151123
81	178.1276505
82	178.0380934
83	177.9723122
84	177.8695593
85	177.7732795
86	177.6660784
87	177.6092898
88	177.4980395
89	177.3974957
90	177.3460309
91	177.2546171
92	177.1762685
93	177.117869
94	176.9834708
95	176.8836197
96	176.8131081
97	176.7433226
98	176.6845449
99	176.5092584
100	176.460841
101	176.3516447
102	176.2912303
103	176.2204694
104	176.1706843
105	176.0968231
106	176.0411623
107	175.959936
108	175.8605397
109	175.7521019
110	175.6508476
111	175.5624451
112	175.5153586
113	175.481366
114	175.426998
115	175.3138432
116	175.2696355
117	175.2414472
118	175.1731625
119	175.1242438
120	175.0835295
121	175.0307408
122	174.981386
123	174.9294874
124	174.874747
125	174.8322327
126	174.7398117
127	174.6920546
128	174.6267021
129	174.5675448
130	174.4905632
131	174.454502
132	174.4117462
133	174.3289255
134	174.2549182
135	174.1711833
136	174.0808568
137	174.0302385
138	173.9798289
139	173.9016533
140	173.8289863
141	173.7976041
142	173.7400196
143	173.6797675
144	173.6053992
145	173.5443258
146	173.4954136
147	173.4449544
148	173.3997694
149	173.3308743
150	173.2553443
151	173.2176216
152	173.1602563
153	173.1144845
154	173.0433644
155	172.9701793
156	172.9146231
157	172.8829279
158	172.8218866
159	172.773583
160	172.7154349
161	172.6649485
162	172.6116857
163	172.5560413
164	172.4945856
165	172.4582626
166	172.4173423
167	172.3778833
168	172.3103578
169	172.2597854
170	172.2365289
171	172.1763353
172	172.1340029
173	172.084351
174	172.040662
175	172.0051695
176	171.9247166
177	171.8823008
178	171.8337043
179	171.7951478
180	171.7418351
181	171.7006986
182	171.6636869
183	171.6332871
184	171.5711621
185	171.5412451
186	171.489332
187	171.4491303
188	171.4098666
189	171.3547713
190	171.3213989
191	171.2740977
192	171.229345
193	171.2102224
194	171.1750826
195	171.1396773
196	171.0795883
197	171.0374258
198	170.9907237
199	170.9628485
200	170.9359559
201	170.8934563
202	170.8631336
203	170.8041534
204	170.7559343
205	170.7019768
206	170.6684309
207	170.6454187
208	170.6049251
209	170.5516928
210	170.4927886
211	170.4676786
212	170.4355745
213	170.4128291
214	170.3526675
215	170.3135179
216	170.2899145
217	170.2611184
218	170.1855364
219	170.1312969
220	170.1020169
221	170.0734774
222	170.051805
223	170.0101022
224	169.9589924
225	169.9182636
226	169.870008
227	169.8483131
228	169.8172037
229	169.7761381
230	169.7400482
231	169.698487
232	169.6705619
233	169.6498515
234	169.6029116
235	169.5792235
236	169.5413553
237	169.5175046
238	169.4926986
239	169.4398518
240	169.4118735
241	169.3867026
242	169.3629121
243	169.3357936
244	169.3012297
245	169.2433219
246	169.2121595
247	169.1894202
248	169.1488975
249	169.1172267
250	169.0720307
251	169.0473486
252	169.021644
253	168.9947316
254	168.9623618
255	168.9447628
256	168.9008047
257	168.859722
258	168.8185348
259	168.7984413
260	168.7644548
261	168.7288913
262	168.707902
263	168.6920198
264	168.6420821
265	168.6007051
266	168.5853452
