iter	Passed	Remaining
172	597	2854
173	600	2851
174	603	2847
175	607	2842
176	610	2839
177	613	2835
178	617	2831
179	620	2827
180	623	2822
181	627	2818
182	630	2814
183	633	2810
184	637	2806
185	640	2802
186	643	2798
187	647	2794
188	650	2790
189	653	2786
190	656	2782
191	660	2778
192	663	2775
193	667	2772
194	671	2770
195	674	2766
196	677	2762
197	681	2758
198	684	2754
199	687	2750
200	691	2748
201	694	2744
202	698	2740
203	701	2737
204	704	2733
205	708	2729
206	711	2725
207	714	2721
208	718	2717
209	721	2713
210	724	2709
211	727	2705
212	731	2701
213	734	2698
214	738	2694
215	741	2690
216	744	2686
217	747	2682
218	751	2678
219	754	2674
220	757	2670
221	760	2666
222	764	2663
223	767	2660
224	771	2656
225	774	2652
226	780	2657
227	783	2652
228	786	2647
229	789	2644
230	793	2640
231	796	2636
232	799	2632
233	803	2628
234	806	2625
235	809	2621
236	813	2618
237	816	2614
238	819	2609
239	823	2606
240	826	2603
241	830	2600
242	833	2596
243	836	2592
244	840	2588
245	843	2585
246	846	2581
247	849	2577
248	853	2573
249	856	2569
250	859	2565
251	863	2561
252	866	2558
253	869	2553
254	873	2550
255	876	2546
256	879	2543
257	883	2540
258	886	2535
259	889	2532
260	893	2528
261	896	2525
262	899	2521
263	902	2517
264	906	2513
265	909	2510
266	912	2506
267	916	2502
268	919	2498
269	922	2494
270	926	2492
271	930	2489
272	933	2485
273	936	2481
274	939	2477
275	943	2474
276	946	2470
277	949	2466
278	953	2462
279	956	2458
280	959	2455
281	962	2451
282	966	2448
283	969	2444
284	973	2441
285	976	2437
286	979	2434
287	983	2430
288	986	2426
289	989	2423
290	992	2419
291	996	2415
292	999	2410
293	1002	2407
294	1005	2403
295	1009	2400
296	1012	2396
297	1015	2392
298	1018	2388
299	1022	2386
300	1026	2382
301	1029	2379
302	1033	2376
303	1036	2373
304	1039	2369
305	1043	2366
306	1046	2363
307	1050	2359
308	1053	2356
309	1057	2353
310	1060	2349
311	1064	2346
312	1067	2343
313	1070	2339
314	1074	2336
315	1077	2332
316	1081	2329
317	1085	2326
318	1088	2323
319	1091	2319
320	1095	2316
321	1098	2312
322	1102	2309
323	1105	2306
324	1109	2303
325	1112	2299
326	1115	2296
327	1119	2292
328	1122	2288
329	1125	2284
330	1128	2281
331	1132	2277
332	1135	2274
333	1138	2270
334	1141	2266
335	1144	2262
336	1148	2258
337	1151	2255
338	1154	2251
339	1158	2248
340	1161	2244
341	1164	2241
342	1168	2237
343	1171	2233
344	1174	2229
345	1177	2226
346	1181	2222
347	1184	2218
348	1187	2215
349	1191	2211
350	1194	2208
351	1197	2204
352	1200	2200
353	1203	2196
354	1207	2193
355	1210	2189
356	1213	2186
357	1217	2182
358	1220	2179
359	1223	2174
360	1226	2171
361	1229	2167
362	1233	2163
363	1236	2160
364	1240	2157
365	1243	2153
366	1246	2149
367	1249	2146
368	1253	2143
369	1256	2139
370	1259	2135
371	1262	2132
372	1266	2128
373	1269	2125
374	1273	2121
375	1276	2118
376	1279	2114
377	1282	2111
378	1286	2108
379	1289	2104
380	1293	2100
381	1296	2097
382	1299	2093
383	1303	2090
384	1307	2088
385	1310	2084
386	1313	2081
387	1317	2077
388	1320	2074
389	1323	2070
390	1326	2066
391	1330	2063
392	1334	2060
393	1337	2057
394	1340	2053
395	1343	2049
396	1347	2046
397	1350	2042
398	1353	2039
399	1357	2035
400	1360	2031
401	1363	2028
402	1366	2024
403	1370	2021
404	1373	2017
405	1376	2014
406	1379	2010
407	1383	2007
408	1386	2003
409	1389	2000
410	1393	1996
411	1396	1992
412	1399	1989
413	1403	1985
414	1406	1982
415	1409	1978
416	1412	1975
417	1415	1971
418	1419	1968
419	1422	1964
420	1425	1960
421	1428	1957
422	1432	1953
423	1435	1950
424	1439	1947
425	1442	1943
426	1446	1940
427	1449	1936
428	1452	1933
429	1455	1929
430	1459	1926
431	1462	1922
432	1465	1919
433	1468	1915
434	1472	1912
435	1475	1908
436	1478	1904
437	1481	1901
438	1485	1897
439	1488	1894
440	1491	1890
441	1495	1887
442	1498	1883
443	1501	1880
444	1504	1876
445	1507	1872
446	1511	1869
447	1514	1866
448	1517	1862
449	1520	1858
450	1524	1855
451	1527	1851
452	1530	1848
453	1533	1844
454	1537	1841
455	1540	1837
456	1543	1834
457	1547	1830
458	1550	1827
459	1553	1823
460	1556	1820
461	1560	1816
462	1563	1813
463	1567	1810
464	1570	1806
465	1573	1803
466	1576	1799
467	1580	1796
468	1583	1792
469	1586	1789
470	1589	1785
471	1593	1782
472	1596	1778
473	1599	1774
474	1602	1771
475	1605	1767
476	1609	1764
477	1612	1760
478	1615	1757
479	1619	1754
480	1622	1750
481	1625	1747
482	1629	1743
483	1632	1740
484	1635	1736
485	1638	1733
486	1642	1729
487	1645	1726
488	1648	1723
489	1652	1719
490	1655	1716
491	1658	1712
492	1662	1709
493	1665	1706
494	1669	1703
495	1672	1699
496	1676	1696
497	1679	1693
498	1682	1689
499	1686	1686
500	1689	1682
501	1692	1679
502	1696	1675
503	1699	1672
504	1702	1669
505	1705	1665
506	1709	1661
507	1712	1658
508	1715	1655
509	1719	1651
510	1722	1648
511	1725	1644
512	1728	1641
513	1731	1636
514	1734	1633
515	1737	1629
516	1740	1626
517	1744	1622
518	1747	1619
519	1750	1616
520	1754	1612
521	1757	1609
522	1760	1605
523	1763	1602
524	1766	1598
525	1770	1595
526	1773	1591
527	1776	1588
528	1780	1584
529	1783	1581
530	1786	1578
531	1790	1574
532	1793	1571
533	1796	1567
534	1799	1564
535	1803	1560
536	1806	1557
537	1809	1554
538	1813	1550
539	1816	1547
540	1819	1543
541	1823	1541
542	1827	1537
543	1830	1534
544	1833	1530
545	1836	1527
546	1840	1524
547	1843	1520
548	1846	1517
549	1850	1513
550	1853	1510
551	1856	1506
552	1859	1503
553	1863	1500
554	1867	1497
555	1870	1493
556	1873	1490
557	1877	1486
558	1880	1483
559	1883	1480
560	1887	1476
561	1890	1473
562	1893	1469
563	1896	1466
564	1900	1463
565	1903	1459
566	1907	1456
567	1910	1453
568	1913	1449
569	1917	1446
570	1920	1442
571	1923	1439
572	1926	1435
573	1930	1432
574	1933	1429
575	1936	1425
576	1940	1422
577	1943	1419
578	1947	1415
579	1950	1412
580	1953	1409
581	1956	1405
582	1960	1402
583	1963	1398
584	1966	1395
585	1970	1391
586	1973	1388
587	1976	1384
588	1979	1381
589	1983	1378
590	1986	1374
591	1989	1371
592	1992	1367
593	1996	1364
594	1999	1361
595	2002	1357
596	2006	1354
597	2010	1351
598	2013	1347
599	2017	1344
600	2020	1341
601	2023	1337
602	2027	1334
603	2030	1331
604	2033	1327
605	2037	1324
606	2040	1321
607	2044	1318
608	2047	1314
609	2050	1311
610	2054	1307
611	2057	1304
612	2061	1301
613	2064	1297
614	2067	1294
615	2071	1291
616	2074	1287
617	2078	1284
618	2081	1281
619	2085	1278
620	2088	1274
621	2092	1271
622	2095	1267
623	2098	1264
624	2102	1261
625	2105	1258
626	2109	1254
627	2112	1251
628	2116	1248
629	2119	1244
630	2122	1241
631	2125	1237
632	2128	1234
633	2131	1230
634	2135	1227
635	2138	1223
636	2142	1220
637	2145	1217
638	2148	1213
639	2151	1210
640	2154	1206
641	2158	1203
642	2161	1199
643	2164	1196
644	2167	1193
645	2171	1189
646	2174	1186
647	2177	1182
648	2180	1179
649	2183	1175
650	2186	1172
651	2190	1168
652	2193	1165
653	2196	1162
654	2199	1158
655	2203	1155
656	2206	1151
657	2209	1148
658	2212	1144
659	2216	1141
660	2219	1138
661	2222	1134
662	2225	1131
663	2228	1127
664	2231	1124
665	2235	1121
666	2239	1117
667	2242	1114
668	2245	1111
669	2248	1107
670	2251	1104
671	2255	1100
672	2258	1097
673	2262	1094
674	2265	1090
675	2268	1087
676	2271	1083
677	2274	1080
678	2277	1076
679	2281	1073
680	2284	1070
681	2289	1067
682	2292	1064
683	2295	1060
684	2298	1057
685	2302	1053
686	2305	1050
687	2308	1047
688	2312	1043
689	2315	1040
690	2319	1037
691	2322	1033
692	2325	1030
693	2329	1026
694	2332	1023
695	2335	1020
696	2338	1016
697	2342	1013
698	2345	1009
699	2348	1006
700	2351	1003
701	2355	999
702	2358	996
703	2361	993
704	2364	989
705	2368	986
706	2371	982
707	2374	979
708	2378	976
709	2381	972
710	2384	969
711	2388	965
712	2391	962
713	2394	959
714	2397	955
715	2401	952
716	2404	949
717	2407	945
718	2411	942
719	2414	938
720	2417	935
721	2420	932
722	2424	928
723	2427	925
724	2430	922
725	2434	918
726	2437	915
727	2440	911
728	2444	908
729	2447	905
730	2451	902
731	2454	898
732	2457	895
733	2461	891
734	2464	888
735	2468	885
736	2471	882
737	2475	878
738	2478	875
739	2481	871
740	2484	868
741	2488	865
742	2491	861
743	2494	858
744	2497	855
745	2501	851
746	2504	848
747	2507	844
748	2511	841
749	2514	838
750	2517	834
751	2520	831
752	2524	827
753	2527	824
754	2530	821
755	2533	817
756	2537	814
757	2540	811
758	2543	807
759	2547	804
760	2550	800
761	2553	797
762	2556	794
763	2560	790
764	2563	787
765	2567	784
766	2570	780
767	2573	777
768	2577	774
769	2580	770
770	2583	767
771	2586	763
772	2590	760
773	2593	757
774	2596	753
775	2599	750
776	2603	747
777	2606	743
778	2609	740
779	2612	736
780	2616	733
781	2619	730
782	2622	726
783	2626	723
784	2629	720
785	2632	716
786	2635	713
787	2638	709
788	2642	706
789	2645	703
790	2648	699
791	2651	696
792	2655	693
793	2658	689
794	2663	686
795	2667	683
796	2671	680
797	2675	677
798	2679	673
799	2682	670
800	2685	667
801	2689	663
802	2692	660
803	2695	657
804	2698	653
805	2702	650
806	2705	647
807	2708	643
808	2712	640
809	2715	636
810	2718	633
811	2721	630
812	2725	626
813	2728	623
814	2731	620
815	2734	616
816	2738	613
817	2741	609
818	2744	606
819	2748	603
820	2751	599
821	2754	596
822	2757	593
823	2761	589
824	2764	586
825	2767	583
826	2770	579
827	2774	576
828	2777	572
829	2780	569
830	2784	566
831	2787	562
832	2790	559
833	2793	556
834	2797	552
835	2800	549
836	2803	545
837	2806	542
838	2809	539
839	2813	535
840	2816	532
841	2819	529
842	2823	525
843	2826	522
844	2829	519
845	2833	515
846	2836	512
847	2839	509
848	2842	505
849	2846	502
850	2849	498
851	2852	495
852	2856	492
853	2859	488
854	2862	485
855	2865	482
856	2869	478
857	2872	475
858	2875	472
859	2878	468
860	2882	465
861	2885	461
862	2888	458
863	2892	455
864	2895	451
865	2898	448
866	2901	445
867	2905	441
868	2908	438
869	2911	435
870	2914	431
871	2918	428
872	2921	425
873	2924	421
874	2928	418
875	2931	414
876	2934	411
877	2937	408
878	2940	404
879	2944	401
880	2947	398
881	2950	394
882	2954	391
883	2957	388
884	2961	384
885	2964	381
886	2967	378
887	2970	374
888	2973	371
889	2977	367
890	2980	364
891	2983	361
892	2986	357
893	2990	354
894	2993	351
895	2996	347
896	2999	344
897	3003	341
898	3006	337
899	3010	334
900	3013	331
901	3016	327
902	3020	324
903	3023	321
904	3027	317
905	3030	314
906	3034	311
907	3037	307
908	3040	304
909	3044	301
910	3047	297
911	3051	294
912	3054	291
913	3057	287
914	3061	284
915	3064	281
916	3068	277
917	3071	274
918	3074	271
919	3078	267
920	3081	264
921	3085	261
922	3088	257
923	3092	254
924	3095	250
925	3098	247
926	3101	244
927	3105	240
928	3108	237
929	3111	234
930	3115	230
931	3118	227
932	3121	224
933	3125	220
934	3128	217
935	3131	214
936	3134	210
937	3138	207
938	3141	204
939	3144	200
940	3147	197
941	3151	194
942	3154	190
943	3157	187
944	3160	183
945	3164	180
946	3167	177
947	3170	173
948	3174	170
949	3177	167
950	3180	163
951	3184	160
952	3187	157
953	3190	153
954	3193	150
955	3197	147
956	3200	143
957	3203	140
958	3206	137
959	3209	133
960	3213	130
961	3217	127
962	3220	123
963	3223	120
964	3226	117
965	3230	113
966	3234	110
967	3237	107
968	3240	103
969	3244	100
970	3247	96
971	3250	93
972	3253	90
973	3256	86
974	3260	83
975	3263	80
976	3267	76
977	3270	73
978	3273	70
979	3277	66
980	3280	63
981	3283	60
982	3286	56
983	3290	53
984	3293	50
985	3296	46
986	3299	43
987	3302	40
988	3306	36
989	3309	33
990	3313	30
991	3317	26
992	3320	23
993	3323	20
994	3327	16
995	3330	13
996	3333	10
997	3336	6
998	3340	3
999	3343	0
